Time,Conc.1,Conc.2,Conc.3,Conc.4,BF1,BF2,BF3,BF4,TS,MTH Conc.1,MTH Conc.2,MTH Conc.3,MTH Conc.4,MTH BF1,MTH BF2,MTH BF3,MTH BF4,MTH TS,Averaged Signal,QCL Voltage,Device Temp.,Board Temp.,Peltier Temp.,Peltier Current,Peltier Voltage,Cell Temp.,TCS Temp.,Air Press.,Cell Press.,Preamp Temp,Averaged Zero,Temp. Shift,Residual,Setting Param.,Ite.Nm2 Conc.1,Ite.Nm3 Conc.1
4.3,1.149664,-1036.927246,1486.052124,-136772.59375,1,1.000718,1,1,0.005286,0,0,0,0,0,0,0,0,0,1.728689E+7,9.609645,33.658039,36.235378,42.115593,0.207536,0.260853,69.981445,31.285156,100.669876,26.002914,30.534124,3066229,0.143798,0.083334,0,2353.3396,2353.3396
4.4,1.169191,-948.189026,1485.433105,-137231.828125,1,1.000718,1,1,0.005651,0,0,0,0,0,0,0,0,0,1.728172E+7,9.609926,33.656311,36.249588,42.103081,0.207536,0.260853,69.981445,31.285156,100.669876,26.005013,30.534124,3064635,0.143798,0.084229,0,3789.587402,3789.587402
4.5,1.155029,-1264.861572,1609.838989,-129738.84375,1,1.000718,1,1,0.003869,0,0,0,0,0,0,0,0,0,1.727305E+7,9.609926,33.656311,36.253143,42.138115,0.207268,0.261616,69.981445,31.285156,100.669876,26.007111,30.525032,3061520,0.143798,0.065134,0,2872.966309,2872.966309
4.6,1.169068,-908.909546,1459.582031,-144663.296875,1,1,1,1,0.003964,0,0,0,0,0,0,0,0,0,1.72766E+7,9.613588,33.656311,36.246037,42.094326,0.207938,0.26009,69.981445,31.279297,100.669876,26.007111,30.52795,3066795,0.143798,0.072888,0,1714.883667,1714.883667
4.7,0.902266,-542.104492,1424.422119,-146781.359375,1,1,1,1,0.003122,0,0,0,0,0,0,0,0,0,1.728879E+7,9.620629,33.651123,36.246037,42.128105,0.208741,0.261463,69.981445,31.279297,100.669876,26.001389,30.52795,3065729,0.143798,0.081305,0,3613.795166,3613.795166
4.8,1.256072,-1180.400024,1522.067749,-155614.796875,1,1,1,1,0.00264,0,0,0,0,0,0,0,0,0,1.72817E+7,9.612743,33.659771,36.256695,42.048061,0.208473,0.262074,69.981445,31.279297,100.669876,25.993759,30.5282,3063001,0.143798,0.110418,0,4385.76709,6032.483398
4.9,1.1527,-1199.238647,1525.605835,-157226,1,1,1,1,0.003571,0,0,0,0,0,0,0,0,0,1.72734E+7,9.6088,33.656311,36.240707,42.09808,0.20767,0.261921,69.981445,31.279297,100.669876,25.993759,30.5282,3067021,0.143798,0.094003,0,1684.702759,1684.702759
5,1.141069,-1294.426147,1586.058105,-138099.53125,1,1,1,1,0.003469,0,0,0,0,0,0,0,0,0,1.727347E+7,9.61387,33.658039,36.251366,42.115593,0.208875,0.261769,69.981445,31.279297,100.669876,26.000244,30.5282,3070916,0.143798,0.058896,0,2325.491943,2325.491943
5.1,1.110135,-1358.458374,1555.332886,-129867.617187,1,1,1,1,0.001542,0,0,0,0,0,0,0,0,0,1.728674E+7,9.613306,33.654583,36.244259,42.095577,0.207402,0.261158,69.981445,31.279297,100.669876,25.995476,30.524946,3068745,0.143798,0.068353,0,1928.008423,1928.008423
5.2,1.105829,-878.343933,1463.268677,-146747.734375,1,1,1,1,0.003604,0,0,0,0,0,0,0,0,0,1.726809E+7,9.608236,33.654583,36.23893,42.069317,0.20767,0.261769,69.981445,31.279297,100.669876,25.995476,30.524946,3066110,0.143798,0.055101,0,1901.261841,1901.261841
5.3,1.165234,-1486.770752,1550.454346,-157112.03125,1,1,1,1,0.001471,0,0,0,0,0,0,0,0,0,1.726112E+7,9.616968,33.668415,36.244259,42.038063,0.207536,0.2607,69.981445,31.279297,100.669876,25.989277,30.518772,3064409,0.143798,0.099333,0,2470.446289,2470.446289
5.4,1.007066,-949.682129,1549.834229,-129180.59375,1,1,1,1,-0.000889,0,0,0,0,0,0,0,0,0,1.726961E+7,9.609926,33.658039,36.242481,42.064316,0.208071,0.260853,69.981445,31.279297,100.669876,26.002819,30.517855,3062424,0.143798,0.073824,0,1590.772095,1590.772095
5.5,1.22426,-935.696838,1528.098511,-134536.578125,1,1,1,1,0.000797,0,0,0,0,0,0,0,0,0,1.726482E+7,9.61218,33.651123,36.251366,42.103081,0.208205,0.261158,69.981445,31.279297,100.669876,25.997288,30.517855,3064013,0.143798,0.079806,0,2149.102783,2149.102783
5.6,0.955241,-701.195923,1433.495117,-132072.734375,1,1,1,1,-0.000152,0,0,0,0,0,0,0,0,0,1.726368E+7,9.614151,33.668415,36.262028,42.076817,0.207536,0.261616,69.981445,31.279297,100.669876,26.000435,30.530371,3067491,0.143798,0.056409,0,2207.104492,2207.104492
5.7,1.260587,-1355.65918,1597.55481,-149310.8125,1,1,1,1,-0.001156,0,0,0,0,0,0,0,0,0,1.72701E+7,9.611616,33.659771,36.242481,42.099331,0.207804,0.261006,70.007812,31.290039,100.669876,26.003963,30.536127,3067592,0.143798,0.083221,0,2019.28833,2019.28833
5.8,1.123813,-1347.133789,1564.28772,-151185.0625,1,1,1,1,-0.001052,0,0,0,0,0,0,0,0,0,1.726407E+7,9.610771,33.658039,36.246037,42.13311,0.208071,0.261463,70.007812,31.290039,100.669876,26.000244,30.536127,3063970,0.143798,0.05477,0,2868.615723,2868.615723
5.9,1.213604,-778.898865,1466.380493,-128903.203125,1,1,1,1,-0.001791,0,0,0,0,0,0,0,0,0,1.727581E+7,9.609645,33.656311,36.244259,42.066814,0.208607,0.2607,70.007812,31.290039,100.669876,25.999004,30.521275,3066039,0.143798,0.082974,0,2053.095703,2053.095703
6,1.142825,-1097.572266,1535.248657,-133585.265625,1,1,1,1,-0.000778,0,0,0,0,0,0,0,0,0,1.727645E+7,9.610771,33.656311,36.242481,42.113091,0.208607,0.262074,70.007812,31.290039,100.669876,25.999004,30.519608,3062926,0.143798,0.084144,0,3745.624268,3745.624268
6.1,1.209583,-1106.829346,1568.403809,-134046.234375,1,1,1,1,0.000611,0,0,0,0,0,0,0,0,0,1.727835E+7,9.610209,33.649395,36.251366,42.050564,0.207938,0.260548,70.007812,31.290039,100.669876,26.005108,30.519608,3063536,0.143798,0.065587,0,4961.001465,4961.001465
6.2,0.994133,-890.010193,1561.506592,-129085.28125,1,1,1,1,-0.003501,0,0,0,0,0,0,0,0,0,1.728551E+7,9.61556,33.656311,36.251366,42.020565,0.207268,0.261616,70.007812,31.290039,100.669876,26.002819,30.524029,3063457,0.143798,0.077235,0,2174.806885,2174.806885
6.3,1.101831,-981.002014,1463.670654,-141217.09375,1,1,1,1,-0.00268,0,0,0,0,0,0,0,0,0,1.72738E+7,9.619221,33.658039,36.26025,42.1231,0.207804,0.260548,70.007812,31.290039,100.669876,26.002819,30.524029,3065946,0.143798,0.071021,0,2841.161377,2841.161377
6.4,1.273851,-1062.235474,1562.805054,-147222.265625,1,1,1,1,-0.002796,0,0,0,0,0,0,0,0,0,1.728182E+7,9.609364,33.661499,36.258472,42.139366,0.208205,0.261769,70.007812,31.290039,100.669876,25.995285,30.528118,3069769,0.143798,0.108009,0,2550.70874,7253.697266
6.5,1.102424,-1024.817749,1492.097168,-135235.65625,1,1,1,1,-0.004252,0,0,0,0,0,0,0,0,0,1.727896E+7,9.612743,33.666687,36.246037,42.095577,0.20767,0.261769,70.007812,31.290039,100.669876,25.999863,30.531038,3068828,0.143798,0.081167,0,3734.912842,3734.912842
6.6,1.171913,-880.110779,1464.1521,-138745.71875,1,1,1,1,-0.004143,0,0,0,0,0,0,0,0,0,1.728745E+7,9.613025,33.666687,36.253143,42.110588,0.208473,0.262074,69.991211,31.282227,100.669876,25.995285,30.531038,3066378,0.143798,0.09083,0,3318.412598,3318.412598
6.7,1.334991,-1014.679382,1551.126587,-130161.789062,1,1,1,1,-0.00503,0,0,0,0,0,0,0,0,0,1.727651E+7,9.611053,33.658039,36.240707,42.106834,0.208473,0.260853,69.991211,31.282227,100.669876,25.99538,30.52895,3066141,0.143798,0.089234,0,3939.068115,3939.068115
6.8,1.125723,-862.02832,1480.548218,-147613.578125,1,1,1,1,-0.005203,0,0,0,0,0,0,0,0,0,1.724245E+7,9.611053,33.656311,36.247814,42.090576,0.20767,0.261158,69.991211,31.282227,100.669876,25.998814,30.521193,3066116,0.143798,0.079921,0,3997.26123,3997.26123
6.9,1.174437,-1043.392334,1526.580078,-135677.0625,1,1,1,1,-0.002974,0,0,0,0,0,0,0,0,0,1.726764E+7,9.612461,33.659771,36.242481,42.045563,0.207804,0.260548,69.991211,31.282227,100.669876,25.996716,30.521193,3063255,0.143798,0.080587,0,2499.724365,2499.724365
